State,Constituency,Candidate,Party,Criminal_Cases,Education,Age,Total_Assets,Total_Liabilities
ANDHRA PRADESH,ARAKU,ANUMULA VAMSI KRISHNA,IND,0,POST GRADUATE,41,50000,100000
ANDHRA PRADESH,ARAKU,BIDDIKA RAMAIAH,IND,0,ILLITERATE,57,415000,0
ANDHRA PRADESH,ARAKU,DR. KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY KOSURI,BJP,0,DOCTORATE,54,,
ANDHRA PRADESH,ARAKU,KANGALA BALADORA,IND,0,ILLITERATE,61,340500,0
ANDHRA PRADESH,ARAKU,NARAVA SATYAVATHI,IND,0,10TH PASS,37,,
ANDHRA PRADESH,ARAKU,SHRUTI DEVI VYRICHERLA,INC,0,GRADUATE PROFESSIONAL,46,23592023,0
ANDHRA PRADESH,ARAKU,SWAMULA SUBRAHAMANYAM,JANA JAGRUTI PARTY,0,GRADUATE,50,2100000,870000
ANDHRA PRADESH,ARAKU,VYRICHERLA KISHORE CHANDRA SURYANARAYANA DEO,TDP,0,POST GRADUATE,72,65729020,0
ANDHRA PRADESH,BAPATLA,SURESH BABU NANDIGAM,YSRCP,0,8TH PASS,43,,
ANDHRA PRADESH,BAPATLA,BUSSA NAGARAJU,IND,1,OTHERS,29,194000,0
ANDHRA PRADESH,BAPATLA,CHALLAGALI KISHORE KUMAR,BJP,1,GRADUATE PROFESSIONAL,43,3185877,0
ANDHRA PRADESH,BAPATLA,CHINA NAGESWARA RAO SADHU,MUNDADUGU PRAJA PARTY,0,POST GRADUATE,35,,
ANDHRA PRADESH,BAPATLA,GADDE HARIBABU,NAVODAYAM PARTY,0,GRADUATE,40,20000,100000
ANDHRA PRADESH,BAPATLA,GELLA NAGAMALLI,IND,0,GRADUATE PROFESSIONAL,34,448500,465000
ANDHRA PRADESH,BAPATLA,GOLLA BABURAO,IND,0,POST GRADUATE,46,,
ANDHRA PRADESH,BAPATLA,JESUDASU SEELAM,INC,0,POST GRADUATE,67,126397634,8342498
ANDHRA PRADESH,BAPATLA,KANTHIRAJ DEVANAND,BSP,0,POST GRADUATE,64,34436000,1200000
ANDHRA PRADESH,BAPATLA,MALYADRI SRIRAM,TDP,0,POST GRADUATE,65,42520353,598794
ANDHRA PRADESH,BAPATLA,NUTHAKKI RAMA RAO,ALL INDIA PRAJA PARTY,0,POST GRADUATE,71,72376055,0
ANDHRA PRADESH,BAPATLA,THUMATI RAVI,ALL PEOPLES PARTY,0,POST GRADUATE,46,3418000,0
