State,Constituency,Candidate,Party,Criminal_Cases,Education,Age,Total_Assets,Total_Liabilities
BIHAR,KATIHAR,SHAH TARIQ ANWAR,INC,1,GRADUATE,68,119291973,582950
BIHAR,KHAGARIA,CHOUDHARY MAHBUB ALI KAISAR,LJP,1,GRADUATE,52,109788313,0
BIHAR,KHAGARIA,BANDAN KUMAR SINGH,IND,0,10TH PASS,27,603000,0
BIHAR,KHAGARIA,DHIRENDRA CHOUDHARY,AAM ADHIKAR MORCHA,0,8TH PASS,38,,
BIHAR,KHAGARIA,KUNDAN KUMAR,IND,0,GRADUATE,27,405500,0
BIHAR,KHAGARIA,MADHUVALA DEVI,AAM JANTA PARTY RASHTRIYA,0,12TH PASS,51,7783673,3300000
BIHAR,KHAGARIA,MONI KUMAR,BAHUJAN MUKTI PARTY,0,12TH PASS,35,,
BIHAR,KHAGARIA,MUKESH SAHANI,VIKASSHEEL INSAAN PARTY,4,8TH PASS,40,119699803,16547563
BIHAR,KHAGARIA,NAGENDRA SINGH TYAGI,IND,4,GRADUATE,44,7051000,0
BIHAR,KHAGARIA,PRIYADARSHI DINKAR,IND,0,GRADUATE,31,321000,0
BIHAR,KHAGARIA,RAMAKANT CHOUDHARI,BSP,0,LITERATE,44,6945000,16000
BIHAR,KHAGARIA,SANDIP KUMAR SAKET,SHS,0,GRADUATE,37,,
BIHAR,KHAGARIA,SANGRAM KUMAR SADA,IND,0,GRADUATE,37,367500,0
BIHAR,KHAGARIA,SHIV NARAYAN SINGH,IND,0,12TH PASS,47,4575000,25000
BIHAR,KHAGARIA,SOBHA DEVI,IND,0,LITERATE,32,,
BIHAR,KHAGARIA,SUNIL YADAV,GARIB JANSHAKTI PARTY,0,8TH PASS,33,4959800,0
BIHAR,KHAGARIA,TEJ BAHADUR SINGH,PROUTIST SARVA SAMAJ,0,GRADUATE,76,6730000,0
BIHAR,KHAGARIA,UPENDRA SAHANI,RASHTRIYA JANSAMBHAVNA PARTY,0,GRADUATE,46,30575125,0
BIHAR,KHAGARIA,VINAY KUMAR VARUN,JANHIT KISAN PARTY,0,GRADUATE,48,10497000,450000
BIHAR,KISHANGANJ,DR. MOHAMMAD JAWED,INC,1,GRADUATE PROFESSIONAL,54,,
BIHAR,KISHANGANJ,AKHTARUL IMAN,ALL INDIA MAJLIS-E-ITTEHADUL MUSLIMEEN,4,POST GRADUATE,55,7262890,1908918
BIHAR,KISHANGANJ,ALIMUDDIN ANSARI,AAP,0,10TH PASS,64,3677032,105000
BIHAR,KISHANGANJ,ASAD ALAM,IND,0,LITERATE,38,,
BIHAR,KISHANGANJ,AZIMUDDIN,IND,0,12TH PASS,75,383500,0
BIHAR,KISHANGANJ,CHHOTE LAL MAHTO,IND,0,LITERATE,42,765000,0
BIHAR,KISHANGANJ,HASERUL,IND,0,5TH PASS,43,1175000,0
BIHAR,KISHANGANJ,INDRA DEO PASWAN,BSP,0,GRADUATE PROFESSIONAL,46,6819206,570000
BIHAR,KISHANGANJ,PRADEEP KUMAR SINGH,SHS,0,10TH PASS,36,174500,0
BIHAR,KISHANGANJ,RAJENDRA PASWAN,BAHUJAN MUKTI PARTY,1,8TH PASS,59,2016118,559195
BIHAR,KISHANGANJ,RAJESH KUMAR DUBEY,IND,0,GRADUATE,42,,
BIHAR,KISHANGANJ,SHUKAL MURMU,JMM,0,NOT GIVEN,50,,0
BIHAR,KISHANGANJ,SYED MAHMOOD ASHRAF,JD(U),4,12TH PASS,54,19854930,3598799
BIHAR,MADHEPURA,DINESH CHANDRA YADAV,JD(U),1,GRADUATE PROFESSIONAL,67,37420953,700000
BIHAR,MADHEPURA,ANIL BHARTI,RASHTRAVADI JANATA PARTY,0,POST GRADUATE,49,13777000,0
BIHAR,MADHEPURA,JAYKANT YADAV,IND,0,POST GRADUATE,44,,
BIHAR,MADHEPURA,MANOJ KUMAR MANDA,AAM ADHIKAR MORCHA,0,10TH PASS,45,11776448,50000
BIHAR,MADHEPURA,MOHAMMAD ARSHAD HUSSAIN,IND,0,POST GRADUATE,43,11950000,0
BIHAR,MADHEPURA,RAJESH RANJAN,JAN ADHIKAR PARTY (LOKTANTRIK),31,GRADUATE,51,,
BIHAR,MADHEPURA,RAJIV KUMAR YADAV,BALIRAJA PARTY,0,GRADUATE,30,550000,0
BIHAR,MADHEPURA,RAJO SAH,IND,0,LITERATE,39,4135000,565000
BIHAR,MADHEPURA,SUMAN KUMAR JHA,IND,0,POST GRADUATE,57,11276322,0
BIHAR,MADHEPURA,SURESH KUMAR BHARTI,ASLI DESHI PARTY,0,GRADUATE,37,39307685,420000
BIHAR,MADHEPURA,UMASHANKAR,BAHUJAN MUKTI PARTY,0,12TH PASS,34,,
BIHAR,MADHEPURA,VINAY KUMAR MISHRA,IND,0,GRADUATE,39,14888104,0
BIHAR,MADHUBANI,ASHOK KUMAR YADAV,BJP,1,DOCTORATE,49,46699125,7892847
BIHAR,MADHUBANI,ABHIJIT KUMAR SINGH,IND,1,12TH PASS,58,30046633,900000
BIHAR,MADHUBANI,ABUBAKAR RAHMANI,IND,0,POST GRADUATE,30,757606,0
BIHAR,MADHUBANI,ANAND KUMAR JHA,AKHIL BHARTIYA MITHILA PARTY,0,POST GRADUATE,39,,
BIHAR,MADHUBANI,ANIL KUMAR SAH,IND,3,LITERATE,35,543000,60000
BIHAR,MADHUBANI,DHANESHWAR MAHTO,BHARTIYA MITRA PARTY,1,LITERATE,43,,
BIHAR,MADHUBANI,DR. SHAKEEL AHMAD,INC,1,GRADUATE PROFESSIONAL,63,26802196,0
BIHAR,MADHUBANI,HEMA JHA,IND,0,10TH PASS,57,10874083,0
BIHAR,MADHUBANI,RAJU KUMAR RAJ,IND,0,5TH PASS,54,2356028,0
BIHAR,MADHUBANI,RAM SWARUP BHARTI,VOTERS PARTY INTERNATIONAL,0,12TH PASS,63,1169783,0
BIHAR,MADHUBANI,RANJIT KUMAR,BAHUJAN MUKTI PARTY,0,GRADUATE PROFESSIONAL,29,,
BIHAR,MADHUBANI,REKHA RANJAN YADAV,RPI(A),0,10TH PASS,30,4171200,0
BIHAR,MADHUBANI,SATISH CHANDRA JHA,PURVANCHAL JANTA PARTY (SECULAR),1,POST GRADUATE,51,14252124,1327234
BIHAR,MADHUBANI,SUBHASH CHANDRA JHA,RASHTRIYA JANSAMBHAVNA PARTY,2,10TH PASS,50,,
BIHAR,MADHUBANI,VIDYA SAGAR MANDAL,JAGO HINDUSTAN PARTY,1,GRADUATE,36,3125000,0
BIHAR,MAHARAJGANJ,JANARDAN SINGH SIGRIWAL,BJP,5,GRADUATE,55,10451986,376000
BIHAR,MAHARAJGANJ,ALI AZHAR ANSARI,MAANAVVAADI JANTA PARTY,0,10TH PASS,60,3035000,15000
BIHAR,MAHARAJGANJ,ANIRUDH PRASAD,BSP,5,GRADUATE,54,79825395,22404267
BIHAR,MAHARAJGANJ,ARAVIND KUMAR SHARMA,BHARATIYA JAN KRANTI DAL (DEMOCRATIC),0,10TH PASS,55,,
BIHAR,MAHARAJGANJ,DR. GOPAL PRASAD,BHARTIYA NEW SANSKAR KRANTIKARI PARTY,2,GRADUATE,68,7625000,0
BIHAR,MAHARAJGANJ,M.K.SINGH RATHOUR,IND,0,GRADUATE PROFESSIONAL,47,,
BIHAR,MAHARAJGANJ,MENAKA RAMAN,IND,0,GRADUATE,38,7814034,1678000
BIHAR,MAHARAJGANJ,RAJENDRA KUMAR,IND,0,GRADUATE,46,1853206,0
BIHAR,MAHARAJGANJ,SHREE BHAGWAN SINGH,IND,1,GRADUATE PROFESSIONAL,67,13459000,950000
BIHAR,MAHARAJGANJ,SUBHASH SINGH,JAGO HINDUSTAN PARTY,0,8TH PASS,45,37125000,0
BIHAR,MUNGER,RAJIV RANJAN SINGH,JD(U),1,GRADUATE,65,,
BIHAR,MUNGER,AJIT KUMAR,JMM,0,10TH PASS,36,2191000,600000
BIHAR,MUNGER,AMARJIT PATEL,IND,0,GRADUATE,38,12545972,634728
BIHAR,MUNGER,ARBIND KUMAR SHARMA,RASHTRIYA HIND SENA,0,POST GRADUATE,53,,
BIHAR,MUNGER,DINA SAW,IND,0,8TH PASS,50,1152595,0
BIHAR,MUNGER,KRISHNA MURARI KUMAR,JAN ADHIKAR PARTY,0,GRADUATE,31,4435000,0
BIHAR,MUNGER,KUMAR NAVNEET HIMANSHU,BSP,3,12TH PASS,34,,
BIHAR,MUNGER,MAHESH RAM,IND,0,12TH PASS,33,55000,0
BIHAR,MUNGER,NILAM DEVI,INC,2,LITERATE,48,621659689,214610632
BIHAR,MUNGER,PRANAY KUMAR,IND,0,GRADUATE,35,6955253,0
BIHAR,MUNGER,RAJESH KUMAR RATNAKAR,IND,0,GRADUATE PROFESSIONAL,42,1595000,0
BIHAR,MUNGER,RAUSHAN KUMAR,PRAGATISHIL SAMAJWADI PARTY (LOHIA),0,12TH PASS,31,30000,0
BIHAR,MUNGER,SANJAY KESARI,SHS,3,GRADUATE,44,913169,28000
BIHAR,MUNGER,SANTOSH KUMAR,BAHUJAN MUKTI PARTY,0,12TH PASS,32,,
BIHAR,MUNGER,SONELAL KORA,BHARATIYA BAHUJAN CONGRESS,0,5TH PASS,41,25000,0
BIHAR,MUNGER,SURYODAY PASWAN,SANKHYANUPATI BHAGIDARI PARTY,1,GRADUATE,45,1450000,0
BIHAR,MUNGER,VIKASH KUMAR ARYA,SUCI(C),1,12TH PASS,41,732214,0
BIHAR,MUZAFFARPUR,AJAY NISHAD,BJP,1,GRADUATE,50,298867486,15714320
BIHAR,MUZAFFARPUR,AJITANSH GAUR,IND,0,POST GRADUATE,30,95536,0
BIHAR,MUZAFFARPUR,ANIRUDH SINGH,AIFB,0,GRADUATE,62,,
BIHAR,MUZAFFARPUR,DEVENDRA RAKESH,BAJJIKANCHAL VIKAS PARTY,0,POST GRADUATE,69,96715000,290000
BIHAR,MUZAFFARPUR,DHARMENDRA PASWAN,BHARATIYA MOMIN FRONT,0,LITERATE,26,106866,0
BIHAR,MUZAFFARPUR,JAUHAR AZAD,BAHUJAN MUKTI PARTY,0,12TH PASS,39,,
BIHAR,MUZAFFARPUR,MOHAMAD IDRIS,SUCI(C),0,12TH PASS,64,8162850,0
BIHAR,MUZAFFARPUR,MUKESH KUMAR,IND,0,GRADUATE,34,102438,0
BIHAR,MUZAFFARPUR,NANDAN KUMAR,JANATA PARTY,0,POST GRADUATE,27,5809,0
BIHAR,MUZAFFARPUR,PANKAJ KUMAR,AAP AUR HUM PARTY,0,12TH PASS,41,3405000,2450000
BIHAR,MUZAFFARPUR,PRADEEP KUMAR SINGH,SHS,0,GRADUATE PROFESSIONAL,43,,
BIHAR,MUZAFFARPUR,RAJ BHUSHAN CHAUDHRY,VIKASSHEEL INSAAN PARTY,0,POST GRADUATE,41,71600000,14100000
BIHAR,MUZAFFARPUR,RENU KHARI,JAN ADHIKAR PARTY,0,POST GRADUATE,57,6270738,0
BIHAR,MUZAFFARPUR,RITESH PRASAD,IND,0,12TH PASS,45,,
BIHAR,MUZAFFARPUR,SHIV SHAKTI MONU,BIHAR LOK NIRMAN DAL,0,10TH PASS,34,1173000,0
BIHAR,MUZAFFARPUR,SHIVA BIHARI SINGHANIA,BHARAT NIRMAN PARTY,0,12TH PASS,49,8886364,0
BIHAR,MUZAFFARPUR,SUKHDEO PRASAD,VOTERS PARTY INTERNATIONAL,0,12TH PASS,70,2025238,300000
BIHAR,MUZAFFARPUR,SURENDRA RAY,RASHTRIYA HIND SENA,0,8TH PASS,58,16193100,40000
BIHAR,MUZAFFARPUR,SURESH KUMAR,IND,0,GRADUATE,49,,
BIHAR,MUZAFFARPUR,SWARNLATA DEVI,BSP,0,12TH PASS,47,33350332,4737454
BIHAR,NALANDA,KAUSHLENDRA KUMAR,JD(U),0,12TH PASS,60,29251651,2712389
BIHAR,NALANDA,ANIL KUMAR,BHARATIYA JAN KRANTI DAL (DEMOCRATIC),0,GRADUATE,58,287302,0
BIHAR,NALANDA,ASHOK KUMAR,IND,1,GRADUATE,42,2952708,100000
BIHAR,NALANDA,ASHOK KUMAR AZAD,HINDUSTANI AWAM MORCHA (SECULAR),0,12TH PASS,46,,
BIHAR,NALANDA,BRAHAMDEV PRASAD,SHOSHIT SAMAJ DAL,0,POST GRADUATE,60,3273000,0
BIHAR,NALANDA,CHIRANJIB KUMAR,SHS,0,12TH PASS,39,27647098,7600000
BIHAR,NALANDA,DILIP RAWAT,MAANAVVAADI JANTA PARTY,0,10TH PASS,38,,
BIHAR,NALANDA,DINANATH PANDEY,IND,0,ILLITERATE,72,400000,0
BIHAR,NALANDA,MINTU KUMAR,IND,0,10TH PASS,31,1510000,0
BIHAR,NALANDA,MOHAMMAD SURKHAB ALAM,IND,0,10TH PASS,37,7820000,0
BIHAR,NALANDA,MOHAN BIND,IND,3,5TH PASS,41,,
BIHAR,NALANDA,NITA DEVI,IND,0,12TH PASS,36,76454511,488000
BIHAR,NALANDA,PAWAN KUMAR PANDEY,BHARTIYA LOKMAT RASHTRWADI PARTY,0,12TH PASS,35,3040470,90000
BIHAR,NALANDA,PUNIT KUMAR,IND,2,12TH PASS,30,,
BIHAR,NALANDA,PURUSHOTAM SHARMA,NATIONAL JAGARAN PARTY,0,10TH PASS,47,21248052,0
BIHAR,NALANDA,RAJEEV RANJAN KUMAR,JAN ADHIKAR PARTY,0,GRADUATE,25,8117833,0
BIHAR,NALANDA,RAKESH PASWAN,IND,0,GRADUATE,33,592000,0
BIHAR,NALANDA,RAM CHARITRA PRASAD SINGH,HINDUSTHAN NIRMAN DAL,1,12TH PASS,72,8975000,1984000
BIHAR,NALANDA,RAMCHANDRA PRASAD,SAMAGRA UTTHAN PARTY,6,GRADUATE,76,,
BIHAR,NALANDA,RAMCHANDRA SINGH,IND,0,GRADUATE PROFESSIONAL,45,8870231,133463
BIHAR,NALANDA,RAMVILAF PASWAN,RASHTRIYA HIND SENA,0,5TH PASS,61,4514580,1925
BIHAR,NALANDA,REKHA KUMARI,PURVANCHAL MAHAPANCHAYAT,0,12TH PASS,34,,
BIHAR,NALANDA,SAMPATI KUMAR,SUHELDEV BHARTIYA SAMAJ PARTY,0,12TH PASS,36,21750000,1000000
BIHAR,NALANDA,SANJEET KUMAR,JANTANTRIK VIKAS PARTY,0,POST GRADUATE,38,22030093,788813
BIHAR,NALANDA,SHANKAR PANDEY,BAHUJAN NYAY DAL,0,10TH PASS,37,2985000,0
BIHAR,NALANDA,SHASHI KUMAR,NCP,1,POST GRADUATE,50,3615616,160000
BIHAR,NALANDA,SHASHI KUMAR,BSP,0,10TH PASS,33,,
BIHAR,NALANDA,SOHAVAN PASWAN,PUBLIC MISSION PARTY,0,10TH PASS,43,1776043,100000
BIHAR,NALANDA,SUDHIR KUMAR,IND,0,10TH PASS,37,21000,0
BIHAR,NALANDA,SUNIL RAVIDAS,RPI,0,GRADUATE,30,,
BIHAR,NALANDA,SURENDRA SINGH,BHARAT PRABHAT PARTY,0,10TH PASS,62,450000,0
BIHAR,NALANDA,USHA DEVI,IND,0,10TH PASS,63,875000,0
BIHAR,NAWADA,CHANDAN SINGH,LJP,2,GRADUATE,36,176720167,4722200
BIHAR,NAWADA,ADITYA PRADHAN,PEOPLES PARTY OF INDIA (DEMOCRATIC),0,POST GRADUATE,40,3406595,163050
BIHAR,NAWADA,MOKIM UDDIN,RASHTRIYA ULAMA COUNCIL,0,GRADUATE,49,,
BIHAR,NAWADA,NARESH PRASAD,IND,1,LITERATE,46,140000,0
BIHAR,NAWADA,NIVEDITA SINGH,IND,1,GRADUATE,44,71410600,0
BIHAR,NAWADA,PROF. K.B. PRASAD,IND,0,POST GRADUATE,69,,
BIHAR,NAWADA,RAJESH KUMAR,IND,0,GRADUATE,33,6288351,600000
BIHAR,NAWADA,RAKESH RAUSHAN,IND,1,12TH PASS,45,1591000,0
BIHAR,NAWADA,TULSI DAYAL,IND,0,GRADUATE PROFESSIONAL,56,11022795,4298451
BIHAR,NAWADA,VIBHA DEVI,RJD,0,LITERATE,53,118431743,4849749
BIHAR,NAWADA,VIJAY RAM,MOOLNIWASI SAMAJ PARTY,0,10TH PASS,52,,
BIHAR,NAWADA,VISHNU DEV YADAV,BSP,0,GRADUATE,67,43439000,0
BIHAR,PASCHIM CHAMPARAN,DR. SANJAY JAISWAL,BJP,5,POST GRADUATE,54,199404885,67370030
BIHAR,PASCHIM CHAMPARAN,AJAY KUMAR SINHA,IND,0,GRADUATE,57,3859000,160000
BIHAR,PASCHIM CHAMPARAN,BIPIN NATH TIWARI,LOKTANTRIK JAN SWARAJ PARTY,0,GRADUATE,45,3657000,20000
BIHAR,PASCHIM CHAMPARAN,BRIJESH KUMAR KUSHWAHA,RASHTRIYA LOK SAMTA PARTY,5,12TH PASS,41,,
BIHAR,PASCHIM CHAMPARAN,NAFISH AHMAD,IND,0,10TH PASS,47,2156868,0
BIHAR,PASCHIM CHAMPARAN,RAKESH KUMAR,BSP,2,10TH PASS,39,,
BIHAR,PASCHIM CHAMPARAN,RATAN KUMAR SARKAR,IND,0,10TH PASS,66,3470000,0
BIHAR,PASCHIM CHAMPARAN,SANJAY KUMAR PATEL,IND,1,10TH PASS,39,948960,71325
BIHAR,PATALIPUTRA,RAM KRIPAL YADAV,BJP,0,GRADUATE,58,,
BIHAR,PATALIPUTRA,BINDU DEVI,RASHTRIYA JANSAMBHAVNA PARTY,0,LITERATE,48,30529762,0
BIHAR,PATALIPUTRA,BRAJESHWAR PRASAD SINGH,IND,0,GRADUATE,55,24130030,300000
BIHAR,PATALIPUTRA,DURGESH NANDAN SINGH ALIAS DURGESH YADAV,RASHTRIYA JANVIKAS PARTY (DEMOCRATIC),0,POST GRADUATE,42,,
BIHAR,PATALIPUTRA,INDU DEVI MISHRA,BHARATIYA JAN KRANTI DAL (DEMOCRATIC),0,GRADUATE,53,15820000,0
BIHAR,PATALIPUTRA,JITENDRA BIND,IND,0,8TH PASS,46,585000,0
BIHAR,PATALIPUTRA,LALITA RAY,BAHUJAN NYAY DAL,0,12TH PASS,35,,
BIHAR,PATALIPUTRA,MANTU KUMAR,IND,0,LITERATE,37,194000,0
BIHAR,PATALIPUTRA,MD. KALIMULLAH,BSP,0,GRADUATE,46,4803883,863000
BIHAR,PATALIPUTRA,MISHA BHARTI,RJD,4,GRADUATE PROFESSIONAL,42,75613265,985079
BIHAR,PATALIPUTRA,PUPUL KUMAR SHARMA,IND,0,8TH PASS,29,14415000,68000
BIHAR,PATALIPUTRA,RAM NARAYAN MANJHI,SANKHYANUPATI BHAGIDARI PARTY,0,LITERATE,56,112500,0
BIHAR,PATALIPUTRA,RAM NIRANJAN ROY,RASHTRAWADI CHETNA PARTY,0,POST GRADUATE,60,3586212,0
BIHAR,PATALIPUTRA,RAM PRAVESH RAJAK,PEOPLES PARTY OF INDIA (DEMOCRATIC),0,GRADUATE,66,,
BIHAR,PATALIPUTRA,RAMESH KUMAR SHARMA,IND,0,POST GRADUATE,63,11075833190,0
BIHAR,PATALIPUTRA,SATISH KUMAR,BHARATIYA MOMIN FRONT,0,GRADUATE,51,51500,0
BIHAR,PATALIPUTRA,SHIV KUMAR SINGH,APNA KISAN PARTY,2,12TH PASS,43,45000,0
BIHAR,PATALIPUTRA,SOHAN RAY,YUVA KRANTIKARI PARTY,0,ILLITERATE,69,17209000,0
BIHAR,PATALIPUTRA,SURESH PASWAN,IND,0,10TH PASS,38,,
BIHAR,PATALIPUTRA,VINOD DAS,BHARATIYA BAHUJAN CONGRESS,0,5TH PASS,60,81114,0
BIHAR,PATALIPUTRA,WAKIL AHMAD,JANATA PARTY,0,GRADUATE,46,6520000,0
BIHAR,PATNA SAHIB,RAVI SHANKAR PRASAD,BJP,0,POST GRADUATE,64,235275591,0
BIHAR,PATNA SAHIB,AKHILESH KUMAR,ASLI DESHI PARTY,0,12TH PASS,44,18233000,0
BIHAR,PATNA SAHIB,AMIT KUMAR GUPTA,IND,0,12TH PASS,30,100000,0
BIHAR,PATNA SAHIB,ANAMIKA KUMARI,SUCI(C),0,POST GRADUATE,39,,
BIHAR,PATNA SAHIB,ARVIND KUMAR,IND,0,POST GRADUATE,39,41043115,12207247
BIHAR,PATNA SAHIB,ASHOK KUMAR GUPTA,IND,0,POST GRADUATE,67,147248402,300000
BIHAR,PATNA SAHIB,BASANT SINGH,BHARATIYA JAN KRANTI DAL (DEMOCRATIC),0,10TH PASS,28,,
BIHAR,PATNA SAHIB,JAVED,IND,0,5TH PASS,46,54714,0
BIHAR,PATNA SAHIB,KUMAR RAUNAK,IND,0,GRADUATE PROFESSIONAL,37,7686000,200000
BIHAR,PATNA SAHIB,NIMESH SHUKLA,IND,0,POST GRADUATE,41,1485500,432437
BIHAR,PATNA SAHIB,PRABHASH CHANDRA SHARMA,VANCHIT SAMAJ PARTY,0,GRADUATE,42,493348961,0
BIHAR,PATNA SAHIB,RAJESH KUMAR,JANATA PARTY,0,GRADUATE PROFESSIONAL,38,,
BIHAR,PATNA SAHIB,RANI DEVI,IND,0,5TH PASS,35,50859,0
BIHAR,PATNA SAHIB,RITA DEVI,VIKASSHEEL INSAAN PARTY,0,LITERATE,39,,
BIHAR,PATNA SAHIB,SHATRUGHAN SINHA,INC,2,GRADUATE,73,1935459756,284863762
BIHAR,PATNA SAHIB,SUMIT RANJAN SINHA,SHS,0,POST GRADUATE,31,86000,0
BIHAR,PURNIA,SANTOSH KUMAR,JD(U),1,12TH PASS,42,41036294,2500000
BIHAR,PURNIA,ANIRUDH MEHTA,IND,0,10TH PASS,54,12617500,0
BIHAR,PURNIA,ARJUN SINGH,IND,1,GRADUATE PROFESSIONAL,46,1728768,140000
BIHAR,PURNIA,ASHOK KUMAR SAH,IND,2,10TH PASS,64,,
BIHAR,PURNIA,ASHOK KUMAR SINGH,IND,0,8TH PASS,45,5636784,0
BIHAR,PURNIA,DR. MRITUNJAY KUMAR JHA,IND,0,GRADUATE PROFESSIONAL,41,1422104,360710
BIHAR,PURNIA,JITENDRA URAB,BSP,1,GRADUATE,49,,
BIHAR,PURNIA,MANJU MURMU,JMM,0,5TH PASS,46,32710000,0
BIHAR,PURNIA,MD AKHTAR ALI,IND,0,LITERATE,37,20524,0
BIHAR,PURNIA,RAJIV KUMAR SINGH,IND,0,8TH PASS,30,9625000,0
BIHAR,PURNIA,SAGEER AHMAD,IND,0,OTHERS,29,458449,0
BIHAR,PURNIA,SANOJ KUMAR CHAUHAN,BIHAR LOK NIRMAN DAL,0,GRADUATE PROFESSIONAL,40,,
BIHAR,PURNIA,SHOBHA SOREN,IND,0,LITERATE,28,589000,400000
BIHAR,PURNIA,SHUBHASH KUMAR THAKUR,IND,0,12TH PASS,32,,
BIHAR,PURNIA,UDAY SINGH,INC,2,12TH PASS,66,3418643970,715792024
BIHAR,PURVI CHAMPARAN,RADHA MOHAN SINGH,BJP,1,GRADUATE,69,,
BIHAR,PURVI CHAMPARAN,AAKASH KUMAR,RASHTRIYA LOK SAMTA PARTY,0,12TH PASS,27,25867226,0
BIHAR,PURVI CHAMPARAN,ANIKET RANJAN,IND,6,GRADUATE,28,3768500,100000
BIHAR,PURVI CHAMPARAN,DEVENDRA SINGH,RASHTRIYA SARVJAN VIKAS PARTY,1,12TH PASS,35,,
BIHAR,PURVI CHAMPARAN,DINESH SAHANI,RASHTRIYA MAHAN GANTANTRA PARTY,0,LITERATE,34,2230000,0
BIHAR,PURVI CHAMPARAN,MANOJ TIWARI,IND,0,10TH PASS,39,1514000,50000
BIHAR,PURVI CHAMPARAN,MOHAMMAD AJMER ALAM,IND,0,POST GRADUATE,35,,
BIHAR,PURVI CHAMPARAN,MUNESHWAR TIWARY,IND,0,10TH PASS,50,11122472,0
BIHAR,PURVI CHAMPARAN,PARASNATH PANDEY,JANVADI PARTY(SOCIALIST),1,GRADUATE,59,2300000,0
BIHAR,PURVI CHAMPARAN,PRABHAKAR JAYASWAL,CPI,1,12TH PASS,55,290251911,367711
BIHAR,PURVI CHAMPARAN,PRADIP SINGH,IND,2,LITERATE,39,11069100,650000
BIHAR,PURVI CHAMPARAN,RAJIV RANJAN,JANTA DAL RASHTRAVADI,0,POST GRADUATE,44,46495000,11900000
BIHAR,PURVI CHAMPARAN,RAMCHANDRA SAH,RASHTRIYA JANSAMBHAVNA PARTY,0,10TH PASS,69,1334000,0
BIHAR,PURVI CHAMPARAN,RANDHIR KUMAR TIWARI,ASLI DESHI PARTY,0,10TH PASS,31,,
BIHAR,PURVI CHAMPARAN,SACHIN PASWAN,RASHTRIYA HIND SENA,1,8TH PASS,34,2597200,0
BIHAR,PURVI CHAMPARAN,SATYAM YADAV,BAHUJAN NYAY DAL,1,8TH PASS,30,2595500,77904
BIHAR,PURVI CHAMPARAN,SHATRUGHNA TIWARY,BAJJIKANCHAL VIKAS PARTY,1,8TH PASS,59,87880034,330000
BIHAR,PURVI CHAMPARAN,SHEKH SERAJ,AKHIL BHARTIYA APNA DAL,1,10TH PASS,25,115500,0
BIHAR,PURVI CHAMPARAN,SHOBHA DEVI,SHOSHIT SAMAJ DAL,0,LITERATE,42,,
BIHAR,PURVI CHAMPARAN,VINAY KUMAR SRIVASTAVA,RASHTRIYA SAMTA PARTY (SECULAR),0,12TH PASS,38,14835935,0
BIHAR,SAMASTIPUR,RAMCHANDRA PASWAN,LJP,5,10TH PASS,58,17375975,999057
BIHAR,SAMASTIPUR,ASHA DEVI,AAM ADHIKAR MORCHA,1,LITERATE,25,1628121,51000
BIHAR,SAMASTIPUR,DR. ASHOK KUMAR,INC,0,GRADUATE PROFESSIONAL,64,20396690,0
BIHAR,SAMASTIPUR,LALO PASWAN,VOTERS PARTY INTERNATIONAL,0,LITERATE,51,,
BIHAR,SAMASTIPUR,MANTESH KUMAR,BSP,0,GRADUATE,40,2540500,20000
BIHAR,SAMASTIPUR,PINKU PASWAN,YUVA KRANTIKARI PARTY,0,GRADUATE,30,207667,0
BIHAR,SAMASTIPUR,RAJ KUMAR RAM,BHARATIYA MOMIN FRONT,1,10TH PASS,51,,
BIHAR,SAMASTIPUR,RATAN BIHARI,JAN ADHIKAR PARTY,0,GRADUATE,26,756000,0
BIHAR,SAMASTIPUR,VIDYA NAND RAM,WAZIB ADHIKAR PARTY,0,POST GRADUATE,46,593059,0
BIHAR,SAMASTIPUR,VIJAY KUMAR RAM,VANCHIT SAMAJ PARTY,0,12TH PASS,32,33000,50000
BYE ELECTION ON 21-10-2019 : BIHAR,SAMASTIPUR (SC),PRINCE RAJ,LJP,0,POST GRADUATE,30,,
BYE ELECTION ON 21-10-2019 : BIHAR,SAMASTIPUR (SC),DR. ASHOK KUMAR,INC,0,GRADUATE PROFESSIONAL,64,20640380,0
BYE ELECTION ON 21-10-2019 : BIHAR,SAMASTIPUR (SC),NIRDOSH KUMAR,JAN ADHIKAR PARTY,0,GRADUATE,34,4162789,0
BYE ELECTION ON 21-10-2019 : BIHAR,SAMASTIPUR (SC),RANJU DEVI,YUVA KRANTIKARI PARTY,0,LITERATE,38,59961,0
BYE ELECTION ON 21-10-2019 : BIHAR,SAMASTIPUR (SC),SHASHI BHUSHAN DAS,IND,0,10TH PASS,37,4090000,174000
BYE ELECTION ON 21-10-2019 : BIHAR,SAMASTIPUR (SC),SURAJ KUMAR DAS,IND,0,POST GRADUATE,37,,
BYE ELECTION ON 21-10-2019 : BIHAR,SAMASTIPUR (SC),VIDYA NAND RAM,WAZIB ADHIKAR PARTY,0,POST GRADUATE,46,625500,0
BIHAR,SARAN,RAJIV PRATAP RUDY,BJP,0,POST GRADUATE,58,80740349,0
BIHAR,SARAN,BHISHAM KUMAR RAY,PURVANCHAL MAHAPANCHAYAT,0,GRADUATE,39,3345700,600000
BIHAR,SARAN,CHANDRIKA ROY,RJD,3,DOCTORATE,61,96944980,1901831
