State,Constituency,Candidate,Party,Gender,Criminal_Cases,Education,Age,Total_Assets,Total_Liabilities,Source_URL,Year
ANDHRA PRADESH,ARAKU,GUMMA THANUJA RANI,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,,0,,31.0,"23,54,678",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,KOTHAPALLI GEETHA,BHARATIYA JANATA PARTY,,2,,53.0,"16,71,66,953",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,APPALANARASA PACHIPENTA,COMMUNIST PARTY OF INDIA (MARXIST),,4,,41.0,"29,25,792",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,AVASHYA LAHARI . VARAM,BAHUJAN SAMAJ PARTY,,0,,30.0,"53,90,634",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,SAMAREDDY BALAKRISHNA,INDEPENDENT,,0,,49.0,"2,95,77,711",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,NIMMAKA JAYARAJU,INDEPENDENT,,0,,64.0,"1,26,17,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,ATHIDHI,INDEPENDENT,,0,,32.0,"20,43,321",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,CHANTI BADNAINA,JAI BHARAT NATIONAL PARTY,,0,,28.0,"1,80,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,MOTTADAM . RAJABABU,BHARAT ADIVASI PARTY,,0,,,,,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,RANJITH KUMAR PALAKA,INDEPENDENT,,0,,42.0,"35,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,MANDALA GIRIDHARA RAO,INDEPENDENT,,0,,42.0,"1,10,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,RAMBABU JALLI,TELUGU RAJADHIKARA SAMITI PARTY,,0,,49.0,"9,72,850",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,VUYAKA NIREEKSHAN (V. CHENCHU),INDIA PRAJA BANDHU PARTY,,0,,44.0,"4,95,948",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ARAKU,NOTA,NONE OF THE ABOVE,,0,,,,,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,KINJARAPU RAMMOHAN NAIDU,TELUGU DESAM,,4,,36.0,"23,30,73,561",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,TILAK PERADA,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,,0,,50.0,"12,75,77,004",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,PEDADA PARAMESWARA RAO,INDIAN NATIONAL CONGRESS,,1,,59.0,"5,15,75,569",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,SANAPALA SRAVAN KUMAR,INDEPENDENT,,0,,37.0,"5,42,91,939",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,NAIDUGARI RAJASEKHAR,BAHUJAN SAMAJ PARTY,,0,,40.0,"40,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,VABA YOGESWARA RAO,INDEPENDENT,,3,,39.0,"17,12,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,BETHA VIVEKANANDA MAHARAJ,INDEPENDENT,,0,,38.0,"1,70,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,YEDDU LAKSHMINARAYANA,INDEPENDENT,,0,,66.0,"8,30,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,BORUBADRA CHANDRAKALA,BHARATHA CHAITANYA YUVAJANA PARTY,,0,,37.0,"95,08,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,IPPILI SEETHARAJU,JAI BHARAT NATIONAL PARTY,,0,,47.0,"44,60,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,KAYA DURGARAO,NAVARANG CONGRESS PARTY,,0,,34.0,"5,79,500",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,CHELLURI DANIYAL,INDEPENDENT,,0,,49.0,"12,84,100",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,BOMMALI TIRUPATI RAO,PYRAMID PARTY OF INDIA,,0,,29.0,"1,20,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,SRIKAKULAM,NOTA,NONE OF THE ABOVE,,0,,,,,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,APPALANAIDU KALISETTI,TELUGU DESAM,,0,,50.0,"6,23,65,187",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,BELLANA CHANDRASEKHAR,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,,5,,62.0,"2,20,00,775",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,BOBBILI SRINU,INDIAN NATIONAL CONGRESS,,0,,33.0,"1,89,91,100",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,PEERUBANDI PRAKASH RAO,BAHUJAN SAMAJ PARTY,,0,,69.0,"50,50,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,VELURI VENKATA TRINADHARAO,INDEPENDENT,,0,,,,,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,ALLU SRIRAMULU,INDEPENDENT,,0,,48.0,"1,25,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,SIYYADULA YELLA RAO,INDEPENDENT,,0,,42.0,"3,78,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,SRINIVASA RAO SAMBHANA,YUGA THULASI PARTY,,0,,45.0,"38,34,537",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,MARISERLA KRISHNAMURTHY NAIDU,INDEPENDENT,,0,,50.0,"1,58,40,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,VANGAPANDU MAHESWARA RAO,NABA BHARATA NIRMANA SEVA PARTY,,0,,56.0,"15,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,CHINNAM ARUNA KUMAR,JAIBHIM RAO BHARAT PARTY,,0,,46.0,"19,03,500",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,ATCHIYYA NAIDU SAMIREDDY,SAMAJWADI PARTY,,0,,55.0,"84,70,863",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,ADINARAYANA TADDI,INDEPENDENT,,0,,61.0,"1,25,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,P V A ANANDA SAGAR,INDEPENDENT,,0,,60.0,"34,91,600",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,SAKHINETI ANANTHA RAJU,PYRAMID PARTY OF INDIA,,0,,50.0,"44,35,500",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VIZIANAGARAM,NOTA,NONE OF THE ABOVE,,0,,,,,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,SRIBHARAT MATHUKUMILI,TELUGU DESAM,,2,,35.0,"2,98,95,86,580",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,JHANSI LAKSHMI. BOTCHA.,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,,0,,61.0,"19,76,03,661",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,P. SATYA REDDY,INDIAN NATIONAL CONGRESS,,0,,52.0,"59,39,092",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,K.A. PAUL,PRAJA SHANTHI PARTY,,6,,60.0,"1,96,071",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,PEDAPENKI SIVA PRASADA RAO,BAHUJAN SAMAJ PARTY,,0,,57.0,"1,87,37,804",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,BIKKAVOLU. CHALAMAJI,NAVARANG CONGRESS PARTY,,0,,43.0,"2,04,672",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,V.N. SATYA NARAYANA,RASHTRIYA PRAJA CONGRESS (SECULAR),,0,,44.0,"63,54,500",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,ARUNA SRI MURALA,INDEPENDENT,,0,,53.0,"28,00,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,VASUPILLI SURESH,INDEPENDENT,,0,,,,,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,SONDI KRISHNA.,INDEPENDENT,,0,,52.0,"1,85,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,ANDUKURI VIJAYA BHASKAR,INDIA PRAJA BANDHU PARTY,,0,,55.0,"1,44,443",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,DR. GANAPATHI KONGARAPU.,REPUBLICAN PARTY OF INDIA (A),,0,,42.0,"5,12,282",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,BANNA. RAMESH,DALITA BAHUJANA PARTY,,0,,49.0,"6,12,696",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,P. SATYA VANI,PYRAMID PARTY OF INDIA,,0,,53.0,"2,75,10,244",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,DURGA PRASAD. GUNTU,BHARTIYA RASHTRIYA DAL,,0,,,,,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,CHAPPIDI RAMU,INDEPENDENT,,0,,49.0,"4,68,697",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,M.G.M. KHAN,INDEPENDENT,,0,,37.0,"1,49,80,904",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,SHANKAR DEVARA YADAV,INDEPENDENT,,0,,26.0,"1,50,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,VENU MADHAV KARRI,INDEPENDENT,,0,,48.0,"3,23,366",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,DR. ACHUTHA BALAJI YADAV (MURAPALA),BHARATHA CHAITANYA YUVAJANA PARTY,,0,,39.0,"1,42,05,289",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,THOTA VENKATA SAI MUKUND,PRAJA PRASTHANAM PARTY,,1,,29.0,"1,71,00,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,PIDIDHI APPARAO,INDEPENDENT,,0,,44.0,"25,98,800",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,G.A.N. ANAND,INDEPENDENT,,0,,38.0,"2,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,VADDI. HARI GANESH,INDEPENDENT,,0,,42.0,"2,45,57,202",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,JANARDHAN PONNADA.,INDEPENDENT,,0,,31.0,"1,25,342",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,GANAPATHI. JAGADEESWARA RAO (JAGADEESH),JAI MAHA BHARATH PARTY,,0,,49.0,"17,36,804",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,JALADI VIJAYA KUMARI,SAMAJWADI PARTY,,0,,52.0,"27,23,960",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,CHINTADA SURYAM,NABA BHARATA NIRMANA SEVA PARTY,,0,,56.0,"13,500",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,GANDIKOTA RAJESH,NAVATARAM PARTY,,0,,42.0,"6,90,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,KOLLI NAGA RAJU,INDEPENDENT,,0,,,,,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,METTA RAMA RAO,INDEPENDENT,,0,,58.0,"11,28,50,440",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,LAGUDU. GOVINDA RAO,INDEPENDENT,,0,,44.0,"6,08,700",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,MALLA SRAVANI,INDEPENDENT,,0,,51.0,"30,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,VISAKHAPATNAM,NOTA,NONE OF THE ABOVE,,0,,,,,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ANAKAPALLI,C.M.RAMESH,BHARATIYA JANATA PARTY,,5,,58.0,"4,97,60,24,996",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ANAKAPALLI,BUDI MUTYALA NAIDU,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,,0,,60.0,"7,39,92,295",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ANAKAPALLI,VEGI VENKATESH,INDIAN NATIONAL CONGRESS,,0,,50.0,"2,35,96,732",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ANAKAPALLI,PALAKA SREERAMA MURTHY,BAHUJAN SAMAJ PARTY,,0,,54.0,"78,987",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ANAKAPALLI,VANKAYALA RAMACHANDRA RAO,INDEPENDENT,,0,,70.0,"50,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ANAKAPALLI,LOVARAJU SIDDHA,INDEPENDENT,,0,,36.0,"19,57,276",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ANAKAPALLI,KRISHNA SWAROOP VADLAMURI,DALITA BAHUJANA PARTY,,0,,51.0,"55,745",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ANAKAPALLI,GARA SURYA RAO,INDEPENDENT,,0,,70.0,"81,50,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ANAKAPALLI,APPALA RAJU NAMMI,BHARATHA CHAITANYA YUVAJANA PARTY,,0,,54.0,"4,78,10,500",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ANAKAPALLI,NAGESWARA RAO PETLA,INDEPENDENT,,0,,60.0,"20,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ANAKAPALLI,ADARI SARAT CHANDRA,JAI BHARAT NATIONAL PARTY,,0,,39.0,"2,76,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ANAKAPALLI,VIJAYA LAKSHMI KARRI,PYRAMID PARTY OF INDIA,,0,,43.0,"77,65,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ANAKAPALLI,DR. THUMMAPALA HARI SHANKAR,INDEPENDENT,,0,,,,,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ANAKAPALLI,JUNNURI J SRINIVAS,INDEPENDENT,,0,,54.0,"5,63,40,957",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ANAKAPALLI,APPALANAIDU TUMMAGUNTA,INDEPENDENT,,0,,42.0,"38,10,350",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,ANAKAPALLI,NOTA,NONE OF THE ABOVE,,0,,,,,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,KAKINADA,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),JANASENA PARTY,,0,,38.0,"31,15,35,620",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,KAKINADA,CHALAMALASETTY SUNIL,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,,0,,54.0,"1,49,99,62,589",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,KAKINADA,MALLIPUDI MANGAPATI PALLAM RAJU,INDIAN NATIONAL CONGRESS,,0,,61.0,"28,19,77,369",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,KAKINADA,UDAY,NAVARANG CONGRESS PARTY,,0,,41.0,"5,86,500",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,KAKINADA,KANDREGULA NARASIMHAM,BAHUJAN SAMAJ PARTY,,0,,55.0,"25,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,KAKINADA,DR ANUSHA YADAV,BHARATHA CHAITANYA YUVAJANA PARTY,,0,,25.0,"94,22,317",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,KAKINADA,TANGELLA SRINIVASU,JATIYA JANA SENA PARTY,,0,,32.0,"1,01,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,KAKINADA,YEDIDA VARA PRASAD KUMAR,REPUBLICAN PARTY OF INDIA (A),,0,,55.0,"1,00,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,KAKINADA,BUGATHA BANGARRAO,COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) (LIBERATION),,3,,63.0,"42,10,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,KAKINADA,SUDHA VEERA GANESH,INDEPENDENT,,0,,33.0,"1,01,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,KAKINADA,BHAVANI SANKAR PRASAD MERLA,INDEPENDENT,,0,,64.0,"2,37,90,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,KAKINADA,YENUGUPALLI KRISHNA,JAIBHIM RAO BHARAT PARTY,,4,,45.0,"67,60,715",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,KAKINADA,BODDETI APPARAO,INDEPENDENT,,0,,31.0,"20,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,KAKINADA,NEELAKANTAM DONAM,INDEPENDENT,,0,,53.0,"33,09,380",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,KAKINADA,PASUPULETI S.V.S.BHUSHANAM,INDEPENDENT,,0,,53.0,"74,26,166",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,KAKINADA,NOTA,NONE OF THE ABOVE,,0,,,,,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,AMALAPURAM,G M HARISH (BALAYOGI),TELUGU DESAM,,0,,33.0,"10,53,89,128",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,AMALAPURAM,RAPAKA VARAPRASADA RAO,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,,2,,65.0,"2,47,25,608",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,AMALAPURAM,GOUTHAM JANGA,INDIAN NATIONAL CONGRESS,,0,,54.0,"2,46,85,500",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,AMALAPURAM,DORABABU YALLA,BAHUJAN SAMAJ PARTY,,0,,59.0,"50,17,200",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,AMALAPURAM,KATRU NAGA BABU,TELUGU NAVA GARJANA PARTY,,0,,30.0,"1,76,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,AMALAPURAM,VADDI LALITH KUMAR,INDEPENDENT,,0,,64.0,"79,95,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,AMALAPURAM,MAKEY DAVY PRASAD,INDEPENDENT,,0,,71.0,"2,00,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,AMALAPURAM,GUDE VENKATESWARULU,INDEPENDENT,,0,,51.0,"5,698",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,AMALAPURAM,RAMESH JILLELLA,JATIYA JANA SENA PARTY,,0,,28.0,"1,02,500",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,AMALAPURAM,YALANGI RAMESH,JAIBHIM RAO BHARAT PARTY,,0,,61.0,"22,95,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,AMALAPURAM,GIDDI JNANA PRAKASA RAO,REPUBLICAN PARTY OF INDIA,,0,,62.0,"15,06,800",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,AMALAPURAM,MATHA KRISHNA,PYRAMID PARTY OF INDIA,,0,,39.0,"10,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,AMALAPURAM,YADLA RAJESH,LIBERATION CONGRESS PARTY,,0,,32.0,"5,25,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,AMALAPURAM,KAPA KALYAN,REPUBLICAN PARTY OF INDIA (A),,0,,47.0,"6,20,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,AMALAPURAM,PATHURI RAMESH,PEOPLES PARTY OF INDIA (DEMOCRATIC),,0,,39.0,"57,40,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,AMALAPURAM,NOTA,NONE OF THE ABOVE,,0,,,,,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,RAJAHMUNDRY,DAGGUBATI PURANDHESHWARI,BHARATIYA JANATA PARTY,,1,,67.0,"62,50,41,146",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,RAJAHMUNDRY,DR. GUDURI SRINIVAS,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,,0,,60.0,"16,45,68,281",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,RAJAHMUNDRY,GIDUGU RUDRARAJU,INDIAN NATIONAL CONGRESS,,0,,55.0,"3,53,94,877",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,RAJAHMUNDRY,GANESWARA RAO PARAMATA,BAHUJAN SAMAJ PARTY,,0,,62.0,"1,68,36,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,RAJAHMUNDRY,BATTULA BALARAMAKRISHNA,NAVARANG CONGRESS PARTY,,0,,31.0,"15,94,400",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,RAJAHMUNDRY,SALOPANTULA RAGHAVENDRA RAO,INDEPENDENT,,0,,,,,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,RAJAHMUNDRY,DR. MEDISI RATNARAO ALIAS VINAY,INDEPENDENT,,0,,,,,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,RAJAHMUNDRY,MOHANARAO SINGULURI,JAI BHARAT NATIONAL PARTY,,0,,35.0,"25,00,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,RAJAHMUNDRY,MEDA SRINIVASA RAO,RASHTRIYA PRAJA CONGRESS (SECULAR),,0,,54.0,"3,47,25,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
ANDHRA PRADESH,RAJAHMUNDRY,BOMMANABOINA VSR MURTHY,INDEPENDENT,,0,,67.0,"6,76,43,000",,"ADR annexures (assets + criminal cases), Lok Sabha Elections 2024",2024
